Ano;Mês;"Código NCM";"Descrição NCM";Países;"Bloco Econômico";Via;"Valor FOB (US$)";"Quilograma Líquido"
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Dinamarca;"União Europeia - UE";MARITIMA;247678;1475
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";"Estados Unidos";"América do Norte";AEREA;3520328;2780
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";"Estados Unidos";"América do Norte";RODOVIARIA;910485;5658
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";França;Europa;AEREA;209278;3543
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";França;"União Europeia - UE";AEREA;209278;3543
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Grécia;Europa;MARITIMA;126950;2070
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Grécia;"União Europeia - UE";MARITIMA;126950;2070
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Índia;"Ásia (Exclusive Oriente Médio)";AEREA;252280;2457
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Índia;"Ásia (Exclusive Oriente Médio)";MARITIMA;639629;10558
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Itália;Europa;AEREA;95343;0
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Itália;"União Europeia - UE";AEREA;95343;0
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Singapura;"Ásia (Exclusive Oriente Médio)";AEREA;1269036;1375
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Singapura;"Associação de Nações do Sudeste Asiático - ASEAN";AEREA;1269036;1375
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Suíça;Europa;AEREA;19983;1
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Uruguai;"América do Sul";AEREA;21754;266
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Uruguai;"América do Sul";RODOVIARIA;48129;4090
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Uruguai;"Mercado Comum do Sul - Mercosul";AEREA;21754;266
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Uruguai;"Mercado Comum do Sul - Mercosul";RODOVIARIA;48129;4090
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";"África do Sul";África;MARITIMA;27150;345
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Alemanha;Europa;AEREA;6599434;16009
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Alemanha;Europa;MARITIMA;198928;1765
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Alemanha;"União Europeia - UE";AEREA;6599434;16009
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Alemanha;"União Europeia - UE";MARITIMA;198928;1765
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Argentina;"América do Sul";MARITIMA;193758;1164
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Argentina;"América do Sul";RODOVIARIA;482891;1772
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Argentina;"Mercado Comum do Sul - Mercosul";MARITIMA;193758;1164
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Argentina;"Mercado Comum do Sul - Mercosul";RODOVIARIA;482891;1772
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Bélgica;Europa;AEREA;172040;671
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Bélgica;Europa;MARITIMA;22093;5094
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Bélgica;"União Europeia - UE";AEREA;172040;671
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Bélgica;"União Europeia - UE";MARITIMA;22093;5094
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Canadá;"América do Norte";AEREA;3167678;70
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Colômbia;"América do Sul";MARITIMA;427381;8722
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Dinamarca;Europa;MARITIMA;641901;1897
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Dinamarca;"União Europeia - UE";MARITIMA;641901;1897
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Eslovênia;Europa;AEREA;3841;285
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Eslovênia;Europa;MARITIMA;80544;2618
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Eslovênia;"União Europeia - UE";AEREA;3841;285
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Eslovênia;"União Europeia - UE";MARITIMA;80544;2618
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Espanha;Europa;AEREA;1932137;7151
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Espanha;Europa;MARITIMA;691632;4942
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Espanha;"União Europeia - UE";AEREA;1932137;7151
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Espanha;"União Europeia - UE";MARITIMA;691632;4942
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";"Estados Unidos";"América do Norte";AEREA;10613908;4336
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";"Estados Unidos";"América do Norte";MARITIMA;2015;2
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";França;Europa;AEREA;1275873;1421
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";França;Europa;MARITIMA;817523;24766
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";França;"União Europeia - UE";AEREA;1275873;1421
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";França;"União Europeia - UE";MARITIMA;817523;24766
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Índia;"Ásia (Exclusive Oriente Médio)";AEREA;1599927;18217
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Índia;"Ásia (Exclusive Oriente Médio)";MARITIMA;3117995;45699
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Irlanda;Europa;AEREA;188;11
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Irlanda;Europa;MARITIMA;358312;6041
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Irlanda;"União Europeia - UE";AEREA;188;11
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Irlanda;"União Europeia - UE";MARITIMA;358312;6041
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Itália;Europa;AEREA;720131;1852
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Itália;"União Europeia - UE";AEREA;720131;1852
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Japão;"Ásia (Exclusive Oriente Médio)";AEREA;41307;25
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";México;"América do Norte";AEREA;8216;43
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Polônia;Europa;AEREA;172572;972
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Polônia;"União Europeia - UE";AEREA;172572;972
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";"Porto Rico";"América Central e Caribe";AEREA;1223861;485
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";"Porto Rico";"América Central e Caribe";MARITIMA;12628;100
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Portugal;Europa;AEREA;40379;1273
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Portugal;"União Europeia - UE";AEREA;40379;1273
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";"Reino Unido";Europa;AEREA;6267679;7007
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Singapura;"Ásia (Exclusive Oriente Médio)";AEREA;95897;8
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Singapura;"Ásia (Exclusive Oriente Médio)";MARITIMA;954433;17468
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Singapura;"Associação de Nações do Sudeste Asiático - ASEAN";AEREA;95897;8
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Singapura;"Associação de Nações do Sudeste Asiático - ASEAN";MARITIMA;954433;17468
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Suécia;Europa;MARITIMA;94868;698
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Suécia;Europa;RODOVIARIA;840206;3095
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Suécia;"União Europeia - UE";MARITIMA;94868;698
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Suécia;"União Europeia - UE";RODOVIARIA;840206;3095
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Suíça;Europa;AEREA;5255874;931
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Suíça;Europa;MARITIMA;565822;4523
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Turquia;Europa;AEREA;3915;113
2020;12;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";Turquia;Europa;MARITIMA;14983;1292
2020;11;29322000;Lactonas;Alemanha;Europa;AEREA;1228;4
2020;11;29322000;Lactonas;Alemanha;Europa;MARITIMA;30603;1265
2020;11;29322000;Lactonas;Alemanha;"União Europeia - UE";AEREA;1228;4
2020;11;29322000;Lactonas;Alemanha;"União Europeia - UE";MARITIMA;30603;1265
2020;11;29322000;Lactonas;Canadá;"América do Norte";AEREA;370;0
2020;11;29322000;Lactonas;China;"Ásia (Exclusive Oriente Médio)";AEREA;1901937;4686
2020;11;29322000;Lactonas;China;"Ásia (Exclusive Oriente Médio)";MARITIMA;5098015;638940
2020;11;29322000;Lactonas;Espanha;Europa;AEREA;1280;190
2020;11;29322000;Lactonas;Espanha;Europa;MARITIMA;63081;5611
2020;11;29322000;Lactonas;Espanha;"União Europeia - UE";AEREA;1280;190
2020;11;29322000;Lactonas;Espanha;"União Europeia - UE";MARITIMA;63081;5611
2020;11;29322000;Lactonas;"Estados Unidos";"América do Norte";AEREA;89158;67
2020;11;29322000;Lactonas;"Estados Unidos";"América do Norte";MARITIMA;233360;11498
2020;11;29322000;Lactonas;França;Europa;AEREA;2559;6
2020;11;29322000;Lactonas;França;"União Europeia - UE";AEREA;2559;6
2020;11;29322000;Lactonas;Hungria;Europa;AEREA;68099;220
2020;11;29322000;Lactonas;Hungria;"União Europeia - UE";AEREA;68099;220
2020;11;29322000;Lactonas;Índia;"Ásia (Exclusive Oriente Médio)";AEREA;1122196;3186
2020;11;29322000;Lactonas;Índia;"Ásia (Exclusive Oriente Médio)";MARITIMA;92751;1390
2020;11;29322000;Lactonas;Israel;"Oriente Médio";AEREA;251;0
2020;11;29322000;Lactonas;Itália;Europa;AEREA;1342434;332
2020;11;29322000;Lactonas;Itália;"União Europeia - UE";AEREA;1342434;332
2020;11;29322000;Lactonas;Japão;"Ásia (Exclusive Oriente Médio)";AEREA;13811;181
2020;11;29322000;Lactonas;"Países Baixos (Holanda)";Europa;AEREA;117;0
2020;11;29322000;Lactonas;"Países Baixos (Holanda)";"União Europeia - UE";AEREA;117;0
2020;11;29322000;Lactonas;Polônia;Europa;AEREA;12102;7
2020;11;29322000;Lactonas;Polônia;"União Europeia - UE";AEREA;12102;7
2020;11;29322000;Lactonas;"Reino Unido";Europa;AEREA;2403;96
2020;11;29322000;Lactonas;"Reino Unido";Europa;MARITIMA;45508;6450
2020;11;29322000;Lactonas;Romênia;Europa;AEREA;3468;35
2020;11;29322000;Lactonas;Romênia;Europa;MARITIMA;63576;2510
2020;11;29322000;Lactonas;Romênia;"União Europeia - UE";AEREA;3468;35
2020;11;29322000;Lactonas;Romênia;"União Europeia - UE";MARITIMA;63576;2510
2020;11;29322000;Lactonas;Singapura;"Ásia (Exclusive Oriente Médio)";AEREA;242;0
2020;11;29322000;Lactonas;Singapura;"Associação de Nações do Sudeste Asiático - ASEAN";AEREA;242;0
2020;11;29322000;Lactonas;Suécia;Europa;AEREA;17461;60
2020;11;29322000;Lactonas;Suécia;"União Europeia - UE";AEREA;17461;60
2020;11;29322000;Lactonas;Suíça;Europa;AEREA;8765;50
2020;11;29322000;Lactonas;Suíça;Europa;MARITIMA;44259;151
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Alemanha;Europa;AEREA;1085;0
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Alemanha;"União Europeia - UE";AEREA;1085;0
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Canadá;"América do Norte";AEREA;11004;0
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";China;"Ásia (Exclusive Oriente Médio)";AEREA;85;0
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";China;"Ásia (Exclusive Oriente Médio)";MARITIMA;206882;23000
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Espanha;Europa;AEREA;69270;59
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Espanha;Europa;MARITIMA;103164;16000
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Espanha;"União Europeia - UE";AEREA;69270;59
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Espanha;"União Europeia - UE";MARITIMA;103164;16000
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";"Estados Unidos";"América do Norte";AEREA;7878;2
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";França;Europa;AEREA;641;2
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";França;"União Europeia - UE";AEREA;641;2
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Índia;"Ásia (Exclusive Oriente Médio)";AEREA;1617975;4093
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Índia;"Ásia (Exclusive Oriente Médio)";MARITIMA;7952;56
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Israel;"Oriente Médio";AEREA;61;0
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Itália;Europa;AEREA;70756;11
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Itália;"União Europeia - UE";AEREA;70756;11
2020;11;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Suíça;Europa;AEREA;493;1
2020;11;30039079;"Medicamentos contendo outros compostos heterocíclicos heteroat.nitrogenados, exceto em doses";Índia;"Ásia (Exclusive Oriente Médio)";AEREA;17500;409
2020;11;30039079;"Medicamentos contendo outros compostos heterocíclicos heteroat.nitrogenados, exceto em doses";Índia;"Ásia (Exclusive Oriente Médio)";MARITIMA;482769;31279
2020;11;30046000;"Outros medicamentos, que contenham princípios ativos antimaláricos (antipalúdicos) descritos na Nota de subposições 2 do presente Capítulo";Alemanha;Europa;AEREA;330935;9118
2020;11;30046000;"Outros medicamentos, que contenham princípios ativos antimaláricos (antipalúdicos) descritos na Nota de subposições 2 do presente Capítulo";Alemanha;"União Europeia - UE";AEREA;330935;9118
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Alemanha;Europa;AEREA;26100;99
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Alemanha;Europa;MARITIMA;1678426;6519
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Alemanha;"União Europeia - UE";AEREA;26100;99
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Alemanha;"União Europeia - UE";MARITIMA;1678426;6519
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Argentina;"América do Sul";AEREA;543557;1739
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Argentina;"América do Sul";RODOVIARIA;283236;12644
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Argentina;"Mercado Comum do Sul - Mercosul";AEREA;543557;1739
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Argentina;"Mercado Comum do Sul - Mercosul";RODOVIARIA;283236;12644
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Áustria;Europa;AEREA;26962;45
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Áustria;"União Europeia - UE";AEREA;26962;45
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Dinamarca;Europa;MARITIMA;21281;656
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Dinamarca;"União Europeia - UE";MARITIMA;21281;656
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Eslovênia;Europa;MARITIMA;48218;290
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Eslovênia;"União Europeia - UE";MARITIMA;48218;290
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";"Estados Unidos";"América do Norte";AEREA;2854648;3752
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";"Estados Unidos";"América do Norte";MARITIMA;97827;2528
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";"Estados Unidos";"América do Norte";RODOVIARIA;2663769;17090
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";França;Europa;AEREA;48417;324
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";França;"União Europeia - UE";AEREA;48417;324
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Grécia;Europa;AEREA;100144;986
2020;11;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Grécia;Europa;MARITIMA;211813;3840
